기준_년분기_코드,행정동코드,통합_카테고리,sales_sum,sales_mean,sales_count,store_count,pop_sum,pop_mean,pop_count,행정동명
20251,11110515,B2B 서비스,268180168,134090084.0,2,251,3322244,3322244.0,1,청운효자동
20251,11110515,미용실,261655455,261655455.0,1,24,3322244,3322244.0,1,청운효자동
20251,11110515,분식/간식,876235565,438117782.5,2,47,3322244,3322244.0,1,청운효자동
20251,11110515,뷰티/화장품,18740937,18740937.0,1,12,3322244,3322244.0,1,청운효자동
20251,11110515,생활용품 소매,4485007089,1495002363.0,3,65,3322244,3322244.0,1,청운효자동
20251,11110515,수리/세탁,75116063,37558031.5,2,13,3322244,3322244.0,1,청운효자동
20251,11110515,스포츠 강습,86794998,86794998.0,1,0,3322244,3322244.0,1,청운효자동
20251,11110515,식품 소매,3283641614,547273602.3333334,6,27,3322244,3322244.0,1,청운효자동
20251,11110515,양식/기타외식,2217678995,2217678995.0,1,41,3322244,3322244.0,1,청운효자동
20251,11110515,의료/약국,1273577414,636788707.0,2,9,3322244,3322244.0,1,청운효자동
20251,11110515,의류/패션,606997028,202332342.66666666,3,78,3322244,3322244.0,1,청운효자동
20251,11110515,일반학원,226559003,226559003.0,1,29,3322244,3322244.0,1,청운효자동
20251,11110515,일식,215368672,215368672.0,1,18,3322244,3322244.0,1,청운효자동
20251,11110515,주점,124015527,124015527.0,1,31,3322244,3322244.0,1,청운효자동
20251,11110515,카페,4535266422,4535266422.0,1,0,3322244,3322244.0,1,청운효자동
20251,11110515,패스트푸드/치킨,109093937,109093937.0,1,0,3322244,3322244.0,1,청운효자동
20251,11110515,편의점,979543491,979543491.0,1,27,3322244,3322244.0,1,청운효자동
20251,11110515,한식,3383806701,3383806701.0,1,71,3322244,3322244.0,1,청운효자동
20251,11110530,B2B 서비스,355246339,355246339.0,1,677,3978820,3978820.0,1,사직동
20251,11110530,미용실,340158182,340158182.0,1,62,3978820,3978820.0,1,사직동
20251,11110530,분식/간식,4001518681,2000759340.5,2,138,3978820,3978820.0,1,사직동
20251,11110530,뷰티/화장품,2618941089,872980363.0,3,45,3978820,3978820.0,1,사직동
20251,11110530,생활용품 소매,2492775298,623193824.5,4,102,3978820,3978820.0,1,사직동
20251,11110530,수리/세탁,28857994,28857994.0,1,14,3978820,3978820.0,1,사직동
20251,11110530,숙박,50547822,50547822.0,1,46,3978820,3978820.0,1,사직동
20251,11110530,스포츠 강습,943025246,943025246.0,1,0,3978820,3978820.0,1,사직동
20251,11110530,스포츠/레저,1392160765,1392160765.0,1,29,3978820,3978820.0,1,사직동
20251,11110530,식품 소매,3223401472,644680294.4,5,39,3978820,3978820.0,1,사직동
20251,11110530,양식/기타외식,5446217221,5446217221.0,1,76,3978820,3978820.0,1,사직동
20251,11110530,예술학원,349489171,349489171.0,1,77,3978820,3978820.0,1,사직동
