행정동명,통합카테고리,기준_년분기_코드,성장확률_pct,업종내_순위,업종내_전체동수,상위_퍼센트,등급
청운효자동,B2B 서비스,20253,66.2,41,368,11.1,A
청운효자동,미용실,20253,58.9,48,419,11.5,A
청운효자동,분식/간식,20253,77.8,7,415,1.7,A
청운효자동,뷰티/화장품,20253,40.9,262,394,66.5,C
청운효자동,생활용품 소매,20253,29.6,327,405,80.7,D
청운효자동,수리/세탁,20253,75.9,73,382,19.1,A
청운효자동,스포츠/레저,20253,60.6,76,395,19.2,A
청운효자동,식품 소매,20253,56.7,129,422,30.6,B
청운효자동,양식/기타외식,20253,60.9,47,241,19.5,A
청운효자동,의료/약국,20253,42.7,302,413,73.1,C
청운효자동,의류/패션,20253,36.3,362,402,90.0,D
청운효자동,일반학원,20253,66.5,27,397,6.8,A
청운효자동,일식,20253,31.3,236,279,84.6,D
청운효자동,주점,20253,43.0,249,398,62.6,C
청운효자동,카페,20253,71.1,26,419,6.2,A
청운효자동,패스트푸드/치킨,20253,68.0,25,409,6.1,A
청운효자동,편의점,20253,53.7,77,405,19.0,A
청운효자동,한식,20253,84.8,10,421,2.4,A
사직동,B2B 서비스,20253,66.5,40,368,10.9,A
사직동,미용실,20253,72.5,10,419,2.4,A
사직동,분식/간식,20253,70.4,21,415,5.1,A
사직동,뷰티/화장품,20253,65.4,90,394,22.8,A
사직동,생활용품 소매,20253,65.0,102,405,25.2,B
사직동,수리/세탁,20253,30.3,355,382,92.9,D
사직동,숙박,20253,45.3,118,194,60.8,C
사직동,스포츠/레저,20253,54.8,117,395,29.6,B
사직동,식품 소매,20253,56.5,131,422,31.0,B
사직동,양식/기타외식,20253,65.3,27,241,11.2,A
사직동,예술학원,20253,30.5,328,378,86.8,D
사직동,오락/유흥,20253,56.5,98,361,27.1,B
사직동,의료/약국,20253,75.3,9,413,2.2,A
사직동,의류/패션,20253,49.4,282,402,70.1,C
사직동,일반학원,20253,59.6,64,397,16.1,A
사직동,일식,20253,45.8,131,279,47.0,B
사직동,전자/통신,20253,20.4,276,309,89.3,D
사직동,주점,20253,79.7,1,398,0.3,A
사직동,중식,20253,59.5,70,358,19.6,A
사직동,카페,20253,87.0,9,419,2.1,A
사직동,패스트푸드/치킨,20253,72.0,14,409,3.4,A
사직동,편의점,20253,69.0,16,405,4.0,A
사직동,한식,20253,87.1,4,421,1.0,A
삼청동,분식/간식,20253,79.4,5,415,1.2,A
삼청동,뷰티/화장품,20253,72.9,51,394,12.9,A
삼청동,생활용품 소매,20253,51.0,195,405,48.1,B
삼청동,식품 소매,20253,63.3,76,422,18.0,A
삼청동,양식/기타외식,20253,75.4,5,241,2.1,A
삼청동,의료/약국,20253,53.4,200,413,48.4,B
삼청동,의류/패션,20253,57.9,212,402,52.7,C
삼청동,일식,20253,80.6,3,279,1.1,A
삼청동,전자/통신,20253,56.0,114,309,36.9,B
삼청동,주점,20253,79.7,2,398,0.5,A
삼청동,카페,20253,84.4,12,419,2.9,A
삼청동,패스트푸드/치킨,20253,62.6,50,409,12.2,A
삼청동,편의점,20253,76.4,7,405,1.7,A
삼청동,한식,20253,82.9,12,421,2.9,A
부암동,B2B 서비스,20253,44.6,186,368,50.5,C
부암동,미용실,20253,62.3,35,419,8.4,A
부암동,분식/간식,20253,61.3,69,415,16.6,A
부암동,생활용품 소매,20253,74.7,37,405,9.1,A
부암동,수리/세탁,20253,44.0,285,382,74.6,C
부암동,숙박,20253,65.3,33,194,17.0,A
부암동,스포츠/레저,20253,37.7,309,395,78.2,D
부암동,식품 소매,20253,26.3,407,422,96.4,D
부암동,양식/기타외식,20253,64.6,30,241,12.4,A
부암동,예술학원,20253,59.4,72,378,19.0,A
부암동,의류/패션,20253,54.1,246,402,61.2,C
부암동,일반학원,20253,51.7,140,397,35.3,B
부암동,주점,20253,50.0,171,398,43.0,B
부암동,중식,20253,31.2,342,358,95.5,D
부암동,카페,20253,73.8,23,419,5.5,A
부암동,패스트푸드/치킨,20253,71.9,15,409,3.7,A
부암동,편의점,20253,70.7,13,405,3.2,A
부암동,한식,20253,75.1,39,421,9.3,A
평창동,B2B 서비스,20253,27.3,308,368,83.7,D
평창동,미용실,20253,65.0,27,419,6.4,A
평창동,분식/간식,20253,66.1,36,415,8.7,A
평창동,뷰티/화장품,20253,40.7,268,394,68.0,C
평창동,생활용품 소매,20253,67.5,83,405,20.5,A
평창동,수리/세탁,20253,76.0,71,382,18.6,A
평창동,숙박,20253,36.8,152,194,78.4,D
평창동,스포츠/레저,20253,68.1,40,395,10.1,A
평창동,식품 소매,20253,65.5,62,422,14.7,A
평창동,애완동물,20253,31.0,126,147,85.7,D
평창동,양식/기타외식,20253,51.2,118,241,49.0,B
평창동,예술학원,20253,44.1,193,378,51.1,C
평창동,의료/약국,20253,60.7,103,413,24.9,A
평창동,의류/패션,20253,61.3,187,402,46.5,B
평창동,일반학원,20253,56.5,88,397,22.2,A
평창동,일식,20253,51.2,92,279,33.0,B
평창동,주점,20253,34.3,338,398,84.9,D
평창동,카페,20253,29.2,366,419,87.4,D
평창동,패스트푸드/치킨,20253,28.9,394,409,96.3,D
평창동,편의점,20253,42.8,226,405,55.8,C
평창동,한식,20253,9.0,421,421,100.0,D
무악동,미용실,20253,59.2,47,419,11.2,A
무악동,분식/간식,20253,45.6,264,415,63.6,C
무악동,식품 소매,20253,38.7,317,422,75.1,D
무악동,의료/약국,20253,31.6,373,413,90.3,D
무악동,일반학원,20253,32.2,363,397,91.4,D
무악동,주점,20253,36.8,310,398,77.9,D
무악동,카페,20253,35.3,314,419,74.9,C
무악동,패스트푸드/치킨,20253,67.5,27,409,6.6,A
무악동,편의점,20253,30.9,391,405,96.5,D
무악동,한식,20253,39.3,310,421,73.6,C
교남동,미용실,20253,66.4,21,419,5.0,A
교남동,분식/간식,20253,48.4,231,415,55.7,C
교남동,뷰티/화장품,20253,62.5,109,394,27.7,B
교남동,스포츠/레저,20253,59.9,78,395,19.7,A
교남동,식품 소매,20253,48.7,215,422,50.9,C
교남동,의료/약국,20253,42.9,299,413,72.4,C
교남동,일반학원,20253,35.5,337,397,84.9,D
교남동,일식,20253,40.5,181,279,64.9,C
교남동,중식,20253,70.4,17,358,4.7,A
교남동,카페,20253,57.3,74,419,17.7,A
교남동,패스트푸드/치킨,20253,60.5,54,409,13.2,A
교남동,편의점,20253,51.2,93,405,23.0,A
교남동,한식,20253,64.5,96,421,22.8,A
가회동,미용실,20253,44.5,173,419,41.3,B
가회동,분식/간식,20253,64.2,51,415,12.3,A
가회동,생활용품 소매,20253,46.4,231,405,57.0,C
가회동,스포츠/레저,20253,52.6,137,395,34.7,B
가회동,식품 소매,20253,83.0,2,422,0.5,A
가회동,양식/기타외식,20253,69.9,12,241,5.0,A
가회동,오락/유흥,20253,81.3,2,361,0.6,A
가회동,의료/약국,20253,21.7,403,413,97.6,D
가회동,의류/패션,20253,48.4,288,402,71.6,C
가회동,일반학원,20253,62.6,40,397,10.1,A
가회동,일식,20253,70.6,11,279,3.9,A
가회동,주점,20253,72.4,13,398,3.3,A
가회동,카페,20253,94.8,2,419,0.5,A
가회동,패스트푸드/치킨,20253,57.8,78,409,19.1,A
가회동,편의점,20253,72.7,12,405,3.0,A
가회동,한식,20253,91.3,2,421,0.5,A
종로1.2.3.4가동,B2B 서비스,20253,24.4,331,368,89.9,D
종로1.2.3.4가동,미용실,20253,54.9,77,419,18.4,A
종로1.2.3.4가동,분식/간식,20253,66.2,35,415,8.4,A
종로1.2.3.4가동,뷰티/화장품,20253,53.8,158,394,40.1,B
종로1.2.3.4가동,생활용품 소매,20253,37.6,293,405,72.3,C
종로1.2.3.4가동,수리/세탁,20253,71.2,112,382,29.3,B
종로1.2.3.4가동,숙박,20253,54.6,71,194,36.6,B
종로1.2.3.4가동,스포츠/레저,20253,40.4,270,395,68.4,C
종로1.2.3.4가동,식품 소매,20253,80.1,4,422,0.9,A
종로1.2.3.4가동,양식/기타외식,20253,64.0,34,241,14.1,A
종로1.2.3.4가동,예술학원,20253,37.8,265,378,70.1,C
종로1.2.3.4가동,오락/유흥,20253,50.5,157,361,43.5,B
종로1.2.3.4가동,의료/약국,20253,60.3,109,413,26.4,B
종로1.2.3.4가동,의류/패션,20253,49.4,283,402,70.4,C
종로1.2.3.4가동,일반학원,20253,50.3,163,397,41.1,B
종로1.2.3.4가동,일식,20253,61.5,30,279,10.8,A
종로1.2.3.4가동,전자/통신,20253,48.8,145,309,46.9,B
종로1.2.3.4가동,주점,20253,73.9,7,398,1.8,A
종로1.2.3.4가동,중식,20253,70.5,16,358,4.5,A
종로1.2.3.4가동,카페,20253,87.7,8,419,1.9,A
종로1.2.3.4가동,패스트푸드/치킨,20253,74.3,9,409,2.2,A
종로1.2.3.4가동,편의점,20253,73.8,10,405,2.5,A
종로1.2.3.4가동,한식,20253,85.1,9,421,2.1,A
종로5.6가동,B2B 서비스,20253,28.0,306,368,83.2,D
종로5.6가동,미용실,20253,40.8,226,419,53.9,C
종로5.6가동,분식/간식,20253,70.8,19,415,4.6,A
종로5.6가동,뷰티/화장품,20253,30.7,324,394,82.2,D
종로5.6가동,생활용품 소매,20253,71.2,56,405,13.8,A
종로5.6가동,숙박,20253,44.7,121,194,62.4,C
종로5.6가동,식품 소매,20253,66.5,51,422,12.1,A
종로5.6가동,애완동물,20253,36.8,110,147,74.8,C
종로5.6가동,양식/기타외식,20253,69.5,16,241,6.6,A
종로5.6가동,오락/유흥,20253,59.6,80,361,22.2,A
종로5.6가동,의료/약국,20253,47.1,262,413,63.4,C
종로5.6가동,의류/패션,20253,69.8,109,402,27.1,B
종로5.6가동,일식,20253,49.1,106,279,38.0,B
종로5.6가동,전자/통신,20253,88.4,6,309,1.9,A
종로5.6가동,주점,20253,58.9,92,398,23.1,A
종로5.6가동,중식,20253,67.9,20,358,5.6,A
종로5.6가동,카페,20253,67.0,34,419,8.1,A
종로5.6가동,패스트푸드/치킨,20253,45.8,198,409,48.4,B
종로5.6가동,편의점,20253,60.0,33,405,8.1,A
종로5.6가동,한식,20253,79.9,18,421,4.3,A
이화동,B2B 서비스,20253,33.4,270,368,73.4,C
이화동,미용실,20253,42.5,200,419,47.7,B
이화동,분식/간식,20253,58.0,103,415,24.8,A
이화동,생활용품 소매,20253,59.5,131,405,32.3,B
이화동,스포츠/레저,20253,33.3,350,395,88.6,D
이화동,식품 소매,20253,65.7,58,422,13.7,A
이화동,양식/기타외식,20253,58.7,65,241,27.0,B
이화동,예술학원,20253,39.6,248,378,65.6,C
이화동,오락/유흥,20253,41.3,247,361,68.4,C
이화동,의료/약국,20253,52.6,209,413,50.6,C
이화동,의류/패션,20253,69.2,115,402,28.6,B
이화동,일반학원,20253,32.6,358,397,90.2,D
이화동,일식,20253,54.9,72,279,25.8,B
이화동,전자/통신,20253,84.5,13,309,4.2,A
이화동,주점,20253,52.5,145,398,36.4,B
이화동,중식,20253,43.9,244,358,68.2,C
이화동,카페,20253,55.0,94,419,22.4,A
이화동,패스트푸드/치킨,20253,77.1,6,409,1.5,A
이화동,편의점,20253,57.5,47,405,11.6,A
이화동,한식,20253,77.7,24,421,5.7,A
혜화동,B2B 서비스,20253,50.2,136,368,37.0,B
혜화동,미용실,20253,39.7,240,419,57.3,C
혜화동,분식/간식,20253,60.5,80,415,19.3,A
혜화동,뷰티/화장품,20253,50.1,192,394,48.7,B
혜화동,생활용품 소매,20253,62.8,115,405,28.4,B
혜화동,수리/세탁,20253,23.7,369,382,96.6,D
혜화동,숙박,20253,56.9,62,194,32.0,B
혜화동,스포츠/레저,20253,51.2,156,395,39.5,B
혜화동,식품 소매,20253,57.6,123,422,29.1,B
혜화동,양식/기타외식,20253,60.1,54,241,22.4,A
혜화동,예술학원,20253,38.1,262,378,69.3,C
혜화동,오락/유흥,20253,46.1,199,361,55.1,C
혜화동,의료/약국,20253,45.3,276,413,66.8,C
혜화동,의류/패션,20253,33.8,372,402,92.5,D
혜화동,일반학원,20253,59.2,70,397,17.6,A
혜화동,일식,20253,40.6,177,279,63.4,C
혜화동,전자/통신,20253,43.3,174,309,56.3,C
혜화동,주점,20253,70.6,21,398,5.3,A
혜화동,중식,20253,58.0,85,358,23.7,A
혜화동,카페,20253,59.0,66,419,15.8,A
혜화동,패스트푸드/치킨,20253,69.8,20,409,4.9,A
혜화동,편의점,20253,66.3,20,405,4.9,A
혜화동,한식,20253,85.7,5,421,1.2,A
창신1동,B2B 서비스,20253,79.1,10,368,2.7,A
창신1동,미용실,20253,54.6,78,419,18.6,A
창신1동,분식/간식,20253,58.0,104,415,25.1,B
창신1동,뷰티/화장품,20253,75.2,40,394,10.2,A
창신1동,생활용품 소매,20253,91.6,1,405,0.2,A
창신1동,숙박,20253,34.6,160,194,82.5,D
창신1동,스포츠/레저,20253,84.0,3,395,0.8,A
창신1동,식품 소매,20253,74.4,11,422,2.6,A
창신1동,애완동물,20253,66.6,23,147,15.6,A
창신1동,양식/기타외식,20253,32.2,216,241,89.6,D
창신1동,예술학원,20253,18.8,374,378,98.9,D
창신1동,오락/유흥,20253,66.7,30,361,8.3,A
창신1동,의료/약국,20253,63.4,83,413,20.1,A
창신1동,의류/패션,20253,51.2,269,402,66.9,C
창신1동,일반학원,20253,68.0,23,397,5.8,A
창신1동,전자/통신,20253,48.2,147,309,47.6,B
창신1동,주점,20253,67.3,35,398,8.8,A
창신1동,중식,20253,67.4,22,358,6.1,A
창신1동,카페,20253,56.2,82,419,19.6,A
창신1동,패스트푸드/치킨,20253,61.1,51,409,12.5,A
창신1동,편의점,20253,52.3,87,405,21.5,A
창신1동,한식,20253,54.6,172,421,40.9,B
창신2동,미용실,20253,26.7,402,419,95.9,D
창신2동,분식/간식,20253,60.1,84,415,20.2,A
창신2동,뷰티/화장품,20253,78.0,19,394,4.8,A
창신2동,생활용품 소매,20253,19.2,380,405,93.8,D
창신2동,숙박,20253,75.3,8,194,4.1,A
창신2동,식품 소매,20253,28.2,397,422,94.1,D
창신2동,양식/기타외식,20253,30.0,221,241,91.7,D
창신2동,오락/유흥,20253,56.1,103,361,28.5,B
창신2동,의료/약국,20253,43.3,293,413,70.9,C
창신2동,의류/패션,20253,64.2,149,402,37.1,B
창신2동,주점,20253,51.9,151,398,37.9,B
창신2동,중식,20253,70.1,18,358,5.0,A
창신2동,카페,20253,47.2,167,419,39.9,B
창신2동,패스트푸드/치킨,20253,37.6,305,409,74.6,C
창신2동,한식,20253,62.0,122,421,29.0,B
창신3동,미용실,20253,29.7,367,419,87.6,D
창신3동,스포츠/레저,20253,41.3,265,395,67.1,C
창신3동,식품 소매,20253,48.8,211,422,50.0,B
창신3동,카페,20253,54.7,97,419,23.2,A
창신3동,패스트푸드/치킨,20253,34.3,343,409,83.9,D
창신3동,편의점,20253,59.4,39,405,9.6,A
창신3동,한식,20253,47.4,239,421,56.8,C
숭인1동,미용실,20253,21.9,416,419,99.3,D
숭인1동,분식/간식,20253,58.9,92,415,22.2,A
숭인1동,뷰티/화장품,20253,30.3,326,394,82.7,D
숭인1동,생활용품 소매,20253,25.3,347,405,85.7,D
숭인1동,식품 소매,20253,45.8,252,422,59.7,C
숭인1동,의료/약국,20253,46.0,271,413,65.6,C
숭인1동,의류/패션,20253,79.4,26,402,6.5,A
숭인1동,일반학원,20253,42.3,260,397,65.5,C
숭인1동,전자/통신,20253,52.5,129,309,41.7,B
숭인1동,주점,20253,23.3,384,398,96.5,D
숭인1동,카페,20253,42.9,222,419,53.0,C
숭인1동,패스트푸드/치킨,20253,65.1,39,409,9.5,A
숭인1동,편의점,20253,38.9,301,405,74.3,C
숭인1동,한식,20253,43.8,270,421,64.1,C
숭인2동,미용실,20253,59.7,43,419,10.3,A
숭인2동,분식/간식,20253,56.5,120,415,28.9,B
숭인2동,뷰티/화장품,20253,45.8,223,394,56.6,C
숭인2동,생활용품 소매,20253,25.2,350,405,86.4,D
숭인2동,수리/세탁,20253,51.1,251,382,65.7,C
숭인2동,숙박,20253,62.7,43,194,22.2,A
숭인2동,스포츠/레저,20253,81.3,5,395,1.3,A
숭인2동,식품 소매,20253,59.6,102,422,24.2,A
숭인2동,양식/기타외식,20253,60.8,49,241,20.3,A
숭인2동,오락/유흥,20253,70.5,16,361,4.4,A
숭인2동,의료/약국,20253,44.9,285,413,69.0,C
숭인2동,의류/패션,20253,79.9,22,402,5.5,A
숭인2동,일식,20253,62.4,27,279,9.7,A
숭인2동,전자/통신,20253,45.6,159,309,51.5,C
숭인2동,주점,20253,59.6,84,398,21.1,A
숭인2동,중식,20253,57.0,101,358,28.2,B
숭인2동,카페,20253,51.8,111,419,26.5,B
숭인2동,패스트푸드/치킨,20253,65.6,34,409,8.3,A
숭인2동,편의점,20253,60.9,29,405,7.2,A
숭인2동,한식,20253,58.6,146,421,34.7,B
소공동,미용실,20253,29.9,366,419,87.4,D
소공동,분식/간식,20253,30.2,403,415,97.1,D
소공동,뷰티/화장품,20253,38.7,278,394,70.6,C
소공동,생활용품 소매,20253,82.7,8,405,2.0,A
소공동,수리/세탁,20253,29.2,359,382,94.0,D
소공동,숙박,20253,52.8,80,194,41.2,B
소공동,스포츠/레저,20253,23.0,389,395,98.5,D
소공동,식품 소매,20253,84.3,1,422,0.2,A
소공동,양식/기타외식,20253,32.9,212,241,88.0,D
소공동,예술학원,20253,43.7,196,378,51.9,C
소공동,오락/유흥,20253,37.7,273,361,75.6,D
소공동,의료/약국,20253,54.5,184,413,44.6,B
소공동,의류/패션,20253,41.6,331,402,82.3,D
소공동,일식,20253,52.4,88,279,31.5,B
소공동,전자/통신,20253,34.8,223,309,72.2,C
소공동,주점,20253,49.0,184,398,46.2,B
소공동,중식,20253,57.5,91,358,25.4,B
소공동,카페,20253,56.1,83,419,19.8,A
소공동,패스트푸드/치킨,20253,32.6,361,409,88.3,D
소공동,편의점,20253,45.0,192,405,47.4,B
소공동,한식,20253,61.7,125,421,29.7,B
회현동,B2B 서비스,20253,49.8,140,368,38.0,B
회현동,미용실,20253,57.1,55,419,13.1,A
회현동,분식/간식,20253,48.1,237,415,57.1,C
회현동,뷰티/화장품,20253,58.2,127,394,32.2,B
회현동,생활용품 소매,20253,74.8,36,405,8.9,A
회현동,수리/세탁,20253,48.9,260,382,68.1,C
회현동,숙박,20253,21.5,190,194,97.9,D
회현동,스포츠/레저,20253,73.6,17,395,4.3,A
회현동,식품 소매,20253,64.0,69,422,16.4,A
회현동,애완동물,20253,25.0,141,147,95.9,D
회현동,양식/기타외식,20253,46.6,146,241,60.6,C
회현동,오락/유흥,20253,56.2,101,361,28.0,B
회현동,의료/약국,20253,39.2,335,413,81.1,D
회현동,의류/패션,20253,73.2,78,402,19.4,A
회현동,일식,20253,47.5,122,279,43.7,B
회현동,전자/통신,20253,45.1,163,309,52.8,C
회현동,주점,20253,49.3,181,398,45.5,B
회현동,중식,20253,59.9,67,358,18.7,A
회현동,카페,20253,78.3,15,419,3.6,A
회현동,패스트푸드/치킨,20253,44.2,215,409,52.6,C
회현동,편의점,20253,84.8,3,405,0.7,A
회현동,한식,20253,80.9,16,421,3.8,A
명동,B2B 서비스,20253,65.8,43,368,11.7,A
명동,미용실,20253,31.4,351,419,83.8,D
명동,분식/간식,20253,49.9,209,415,50.4,C
명동,뷰티/화장품,20253,27.6,341,394,86.5,D
명동,생활용품 소매,20253,39.0,281,405,69.4,C
명동,수리/세탁,20253,37.0,331,382,86.6,D
명동,숙박,20253,52.5,82,194,42.3,B
명동,스포츠/레저,20253,59.5,82,395,20.8,A
명동,식품 소매,20253,57.4,124,422,29.4,B
명동,양식/기타외식,20253,71.9,8,241,3.3,A
명동,오락/유흥,20253,45.0,209,361,57.9,C
명동,의료/약국,20253,30.6,377,413,91.3,D
명동,의류/패션,20253,61.9,178,402,44.3,B
명동,일반학원,20253,72.6,17,397,4.3,A
명동,일식,20253,77.4,5,279,1.8,A
명동,전자/통신,20253,37.0,216,309,69.9,C
명동,주점,20253,53.9,134,398,33.7,B
명동,중식,20253,77.1,4,358,1.1,A
명동,카페,20253,67.5,30,419,7.2,A
명동,패스트푸드/치킨,20253,44.7,208,409,50.9,C
명동,편의점,20253,39.1,296,405,73.1,C
명동,한식,20253,75.8,33,421,7.8,A
필동,B2B 서비스,20253,71.6,23,368,6.2,A
필동,미용실,20253,42.2,204,419,48.7,B
필동,분식/간식,20253,65.5,41,415,9.9,A
필동,뷰티/화장품,20253,38.5,282,394,71.6,C
필동,생활용품 소매,20253,49.7,204,405,50.4,C
필동,수리/세탁,20253,75.4,77,382,20.2,A
필동,숙박,20253,14.8,193,194,99.5,D
필동,스포츠/레저,20253,22.6,391,395,99.0,D
필동,식품 소매,20253,61.3,93,422,22.0,A
필동,양식/기타외식,20253,58.8,63,241,26.1,B
필동,예술학원,20253,44.8,181,378,47.9,B
필동,오락/유흥,20253,67.7,23,361,6.4,A
필동,의료/약국,20253,52.9,207,413,50.1,C
필동,의류/패션,20253,64.3,148,402,36.8,B
필동,일식,20253,48.1,113,279,40.5,B
필동,전자/통신,20253,40.5,190,309,61.5,C
필동,주점,20253,78.3,3,398,0.8,A
필동,중식,20253,58.1,82,358,22.9,A
필동,카페,20253,83.0,14,419,3.3,A
필동,패스트푸드/치킨,20253,68.7,21,409,5.1,A
필동,편의점,20253,85.4,2,405,0.5,A
필동,한식,20253,85.3,7,421,1.7,A
장충동,미용실,20253,30.1,363,419,86.6,D
장충동,분식/간식,20253,63.7,54,415,13.0,A
장충동,뷰티/화장품,20253,65.6,88,394,22.3,A
장충동,생활용품 소매,20253,15.2,395,405,97.5,D
장충동,수리/세탁,20253,54.7,233,382,61.0,C
장충동,숙박,20253,45.2,120,194,61.9,C
장충동,식품 소매,20253,68.1,38,422,9.0,A
장충동,양식/기타외식,20253,55.4,85,241,35.3,B
장충동,오락/유흥,20253,25.6,344,361,95.3,D
장충동,의류/패션,20253,47.7,291,402,72.4,C
장충동,일식,20253,63.6,22,279,7.9,A
장충동,주점,20253,69.4,27,398,6.8,A
장충동,중식,20253,58.1,81,358,22.6,A
장충동,카페,20253,32.1,341,419,81.4,D
장충동,패스트푸드/치킨,20253,71.0,17,409,4.2,A
장충동,편의점,20253,60.2,32,405,7.9,A
장충동,한식,20253,84.1,11,421,2.6,A
광희동,B2B 서비스,20253,51.4,129,368,35.1,B
광희동,미용실,20253,35.9,294,419,70.2,C
