서비스_업종_코드_명,통합_카테고리
한식음식점,한식
분식전문점,분식/간식
제과점,베이커리/디저트
중식음식점,중식
일식음식점,일식
양식음식점,양식/기타외식
커피-음료,카페
치킨전문점,치킨전문점
패스트푸드점,패스트푸드
호프-간이주점,주점
편의점,편의점
슈퍼마켓,슈퍼마켓
미곡판매,미곡판매
수산물판매,수산물판매
육류판매,육류판매
청과상,청과상
반찬가게,반찬가게
일반의류,일반의류
신발,신발
가방,가방
섬유제품,섬유제품
가전제품,가전제품
핸드폰,핸드폰
컴퓨터및주변장치판매,컴퓨터및주변장치판매
전자상거래업,전자상거래업
가구,생활용품 소매
조명용품,생활용품 소매
철물점,생활용품 소매
문구,생활용품 소매
완구,생활용품 소매
화초,생활용품 소매
운동/경기용품,생활용품 소매
서적,생활용품 소매
시계및귀금속,생활용품 소매
화장품,화장품
네일숍,네일숍
피부관리실,피부관리실
애완동물,애완동물
미용실,미용실
일반의원,일반의원
치과의원,치과의원
한의원,한의원
의료기기,의료기기
의약품,의약품
안경,안경
외국어학원,외국어학원
일반교습학원,일반교습학원
예술학원,예술학원
스포츠 강습,스포츠 강습
골프연습장,골프연습장
스포츠클럽,스포츠클럽
PC방,PC방
노래방,노래방
당구장,당구장
여관,숙박
고시원,숙박
가전제품수리,가전제품수리
세탁소,세탁소
자동차수리,자동차수리/미용
자동차미용,자동차수리/미용
자전거 및 기타운송장비,기타 B2B서비스
부동산중개업,기타 B2B서비스
인테리어,인테리어
