상권업종중분류명,통합_카테고리
한식,한식
구내식당·뷔페,한식
기타 간이,분식/간식
중식,중식
동남아시아,중식
일식,일식
서양식,양식/기타외식
기타 외국,양식/기타외식
비알코올,카페
주점,주점
종합 소매,편의점
식료품 소매,슈퍼마켓
음료 소매,슈퍼마켓
담배 소매,슈퍼마켓
섬유·의복·신발 소매,의류/패션
시계·귀금속 소매,의류/패션
중고 상품 소매,의류/패션
가전·통신 소매,전자/통신
가구 소매,생활용품 소매
기타 생활용품 소매,생활용품 소매
오락용품 소매,생활용품 소매
식물 소매,생활용품 소매
장식품 소매,생활용품 소매
안경·정밀기기 소매,안경
의약·화장품 소매,화장품
욕탕·신체관리,피부관리실
애완동물·용품 소매,애완동물
이용·미용,미용실
의원,일반의원
병원,일반의원
기타 보건,의료/약국
수의,의료/약국
일반 교육,일반교습학원
교육 지원,일반교습학원
기타 교육,예술학원
스포츠 서비스,스포츠/레저
유원지·오락,오락/유흥
일반 숙박,숙박
기타 숙박,숙박
가전제품 수리,가전제품수리
세탁,세탁소
기타 가정용품 수리,가전제품수리
컴퓨터 수리,가전제품수리
통신장비 수리,가전제품수리
자동차 수리·세차,자동차수리/미용
자동차 부품 소매,기타 B2B서비스
모터사이클 소매,기타 B2B서비스
모터사이클 수리,기타 B2B서비스
부동산 서비스,기타 B2B서비스
철물·건설자재 소매,기타 B2B서비스
광고,기타 B2B서비스
기술 서비스,기타 B2B서비스
법무관련,기타 B2B서비스
회계·세무,기타 B2B서비스
사무 지원,기타 B2B서비스
전문 디자인,기타 B2B서비스
본사·경영 컨설팅,기타 B2B서비스
인쇄·제품제작,기타 B2B서비스
시장 조사,기타 B2B서비스
조경·유지,기타 B2B서비스
청소·방제,기타 B2B서비스
사진 촬영,기타 B2B서비스
고용 알선,기타 B2B서비스
여행사·보조,기타 B2B서비스
기타 사업 서비스,기타 B2B서비스
기타 전문 과학,기타 B2B서비스
시설관리,기타 B2B서비스
기타 개인,기타 B2B서비스
산업용품 대여,기타 B2B서비스
운송장비 대여,기타 B2B서비스
가정용품 대여,기타 B2B서비스
연료 소매,기타 B2B서비스
장례식장,기타 B2B서비스
도서관·사적지,기타 B2B서비스
기타 기타,기타 B2B서비스
